num,ROI_Name,X_position,Y_position,type,PathwayNameFull,Pathway_Value,PathwayName
282,Germinal center_ROI020,6925,16105,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.926201836,ECM  
283,Germinal center_ROI021,11177,16145,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.564634377,ECM  
284,Germinal center_ROI001,23975,27060,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-1.59541127,ECM  
285,Germinal center_ROI004,25384,18364,Germinal center,"Extracellular matrix (ECM) proteoglycans, Others",-0.834151672,ECM  
286,Paracortex zone_ROI018,26014,26134,Paracortex zone,"Extracellular matrix (ECM) proteoglycans, Others",2.198096464,ECM  
287,Paracortex zone_ROI003,23615,27609,Paracortex zone,"Extracellular matrix (ECM) proteoglycans, Others",0.878422121,ECM  
288,Paracortex zone_ROI009,10097,34409,Paracortex zone,"Extracellular matrix (ECM) proteoglycans, Others",1.140745262,ECM  
289,Paracortex zone_ROI015,20756,36279,Paracortex zone,"Extracellular matrix (ECM) proteoglycans, Others",0.922665555,ECM  
290,Paracortex zone_ROI006,25105,18785,Paracortex zone,"Extracellular matrix (ECM) proteoglycans, Others",0.593702612,ECM  
291,Paracortex zone_ROI012,10169,32873,Paracortex zone,"Extracellular matrix (ECM) proteoglycans, Others",0.588639389,ECM  
292,Mantle zone_ROI008,9380,34978,Mantle zone,"Extracellular matrix (ECM) proteoglycans, Others",0.084934609,ECM  
293,Mantle zone_ROI014,22224,36621,Mantle zone,"Extracellular matrix (ECM) proteoglycans, Others",1.253506462,ECM  
294,Mantle zone_ROI002,24303,27332,Mantle zone,"Extracellular matrix (ECM) proteoglycans, Others",1.045435431,ECM  
295,Mantle zone_ROI005,25645,18105,Mantle zone,"Extracellular matrix (ECM) proteoglycans, Others",0.301057586,ECM  
296,Mantle zone_ROI011,8967,33528,Mantle zone,"Extracellular matrix (ECM) proteoglycans, Others",-0.192928763,ECM  
297,Mantle zone_ROI017,25314,27219,Mantle zone,"Extracellular matrix (ECM) proteoglycans, Others",-0.206374868,ECM  
298,Germinal center_ROI027,21345,12134,Germinal center,"SELL; selectin, lymphocyte",-1.352212975,SELL 
