ROI,X_position,Y_position,gene,gene_value,type,SegmentLabel,full_gene_name
H | 6B | 029 | CD11c,21741,29893,Myeloid dendritic cells,0.00055687589358761,Germinal center - CD11c+,CD11c,Myeloid dendritic cells
H | 6B | 029 | CD11c,21741,29893,Classical monocytes,0,Germinal center - CD11c+,CD11c,Classical monocytes
H | 6B | 029 | CD11c,21741,29893,"Non-classical, intermediate monocytes",0.00282364938941447,Germinal center - CD11c+,CD11c,"Non-classical, intermediate monocytes"
H | 6B | 029 | CD11c,21741,29893,Neutrophils,0.00425152544821101,Germinal center - CD11c+,CD11c,Neutrophils
H | 6B | 029 | CD11c,21741,29893,Regulatory T cells,0.00870904780748024,Germinal center - CD11c+,CD11c,Regulatory T cells
H | 6B | 029 | CD11c,21741,29893,Endothelial cells,0.0196906483477304,Germinal center - CD11c+,CD11c,Endothelial cells
H | 6B | 029 | CD11c,21741,29893,Fibroblasts,0.0129221824880946,Germinal center - CD11c+,CD11c,Fibroblasts
I | 6B | 030 | CD11c,18493,9579,Macrophages,0.157159341137666,Germinal center - CD11c+,CD11c,Macrophages
I | 6B | 030 | CD11c,18493,9579,Mast cells,0.000224212365270185,Germinal center - CD11c+,CD11c,Mast cells
I | 6B | 030 | CD11c,18493,9579,Naïve B cells,0.283123961311819,Germinal center - CD11c+,CD11c,Naïve B cells
I | 6B | 030 | CD11c,18493,9579,Memory B cells,0.323287093334926,Germinal center - CD11c+,CD11c,Memory B cells
I | 6B | 030 | CD11c,18493,9579,Plasma cells,0.030027984311982,Germinal center - CD11c+,CD11c,Plasma cells
I | 6B | 030 | CD11c,18493,9579,Naïve CD4 T cells,0,Germinal center - CD11c+,CD11c,Naïve CD4 T cells
I | 6B | 030 | CD11c,18493,9579,Memory CD4 T cells,0.0987647478265282,Germinal center - CD11c+,CD11c,Memory CD4 T cells
I | 6B | 030 | CD11c,18493,9579,Naïve CD8 T cells,0.0165230646322601,Germinal center - CD11c+,CD11c,Naïve CD8 T cells
I | 6B | 030 | CD11c,18493,9579,Memory CD8 T cells,0.0164936343133981,Germinal center - CD11c+,CD11c,Memory CD8 T cells
I | 6B | 030 | CD11c,18493,9579,Natural killer cells,0,Germinal center - CD11c+,CD11c,Natural killer cells
I | 6B | 030 | CD11c,18493,9579,Plasmacytoid dendritic cells,0.000217881457085154,Germinal center - CD11c+,CD11c,Plasmacytoid dendritic cells
I | 6B | 030 | CD11c,18493,9579,Myeloid dendritic cells,0,Germinal center - CD11c+,CD11c,Myeloid dendritic cells
I | 6B | 030 | CD11c,18493,9579,Classical monocytes,0,Germinal center - CD11c+,CD11c,Classical monocytes
I | 6B | 030 | CD11c,18493,9579,"Non-classical, intermediate monocytes",0.00376400269711092,Germinal center - CD11c+,CD11c,"Non-classical, intermediate monocytes"
I | 6B | 030 | CD11c,18493,9579,Neutrophils,0.00122224653118395,Germinal center - CD11c+,CD11c,Neutrophils
I | 6B | 030 | CD11c,18493,9579,Regulatory T cells,0.0417025439547011,Germinal center - CD11c+,CD11c,Regulatory T cells
I | 6B | 030 | CD11c,18493,9579,Endothelial cells,0.0105395322011494,Germinal center - CD11c+,CD11c,Endothelial cells
I | 6B | 030 | CD11c,18493,9579,Fibroblasts,0.0169497539249202,Germinal center - CD11c+,CD11c,Fibroblasts
J | 6B | 031 | CD11c,14101,37273,Macrophages,0.172163851916265,Germinal center - CD11c+,CD11c,Macrophages
J | 6B | 031 | CD11c,14101,37273,Mast cells,8.82537778708589e-05,Germinal center - CD11c+,CD11c,Mast cells
J | 6B | 031 | CD11c,14101,37273,Naïve B cells,0.164718234029419,Germinal center - CD11c+,CD11c,Naïve B cells
J | 6B | 031 | CD11c,14101,37273,Memory B cells,0.516602453527182,Germinal center - CD11c+,CD11c,Memory B cells
J | 6B | 031 | CD11c,14101,37273,Plasma cells,0.0181361712033992,Germinal center - CD11c+,CD11c,Plasma cells
J | 6B | 031 | CD11c,14101,37273,Naïve CD4 T cells,0.00232303479024003,Germinal center - CD11c+,CD11c,Naïve CD4 T cells
J | 6B | 031 | CD11c,14101,37273,Memory CD4 T cells,0.0766080115823805,Germinal center - CD11c+,CD11c,Memory CD4 T cells
J | 6B | 031 | CD11c,14101,37273,Naïve CD8 T cells,0,Germinal center - CD11c+,CD11c,Naïve CD8 T cells
J | 6B | 031 | CD11c,14101,37273,Memory CD8 T cells,0,Germinal center - CD11c+,CD11c,Memory CD8 T cells
J | 6B | 031 | CD11c,14101,37273,Natural killer cells,0,Germinal center - CD11c+,CD11c,Natural killer cells
J | 6B | 031 | CD11c,14101,37273,Plasmacytoid dendritic cells,0,Germinal center - CD11c+,CD11c,Plasmacytoid dendritic cells
J | 6B | 031 | CD11c,14101,37273,Myeloid dendritic cells,0.00161789935054934,Germinal center - CD11c+,CD11c,Myeloid dendritic cells
J | 6B | 031 | CD11c,14101,37273,Classical monocytes,0,Germinal center - CD11c+,CD11c,Classical monocytes
J | 6B | 031 | CD11c,14101,37273,"Non-classical, intermediate monocytes",0.0128222391019593,Germinal center - CD11c+,CD11c,"Non-classical, intermediate monocytes"
J | 6B | 031 | CD11c,14101,37273,Neutrophils,0,Germinal center - CD11c+,CD11c,Neutrophils
J | 6B | 031 | CD11c,14101,37273,Regulatory T cells,0.0166262555002867,Germinal center - CD11c+,CD11c,Regulatory T cells
J | 6B | 031 | CD11c,14101,37273,Endothelial cells,0.00720825200345899,Germinal center - CD11c+,CD11c,Endothelial cells
J | 6B | 031 | CD11c,14101,37273,Fibroblasts,0.0110853432169885,Germinal center - CD11c+,CD11c,Fibroblasts
K | 6B | 032 | CD11c,21888,32371,Macrophages,0.155716286450148,Germinal center - CD11c+,CD11c,Macrophages
